ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
4206,Jaramello et al. 2003;Fan et al. 2017,Panicum maximum,Panicum maximum; Heliocarpus appendiculatus; Lonchocalpus unifoliolatus; Ficus spp.,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,Sierra de los Tuxtlas,NT,60161,,Tuxtlas; SE Mexico,18.5488,-95.0546,NA,78,well-drained; coarse-textured,Si,C,NA,298.7208,9.291667,57.35597,226.6601,306.45,290.25,16.2,299.8167,297.8333,301.05,295.5,0.455,0.035,70.19933,1.154,0.136,0.649,0.361,4,1.531,2.61,0.359,8,4,1.284,0.359,D,TS,hu
4207,Jaramello et al. 2003;Fan et al. 2017,Paspalum conjugatum,Paspalum conjugatum; Axonopus compressus; Panicum spp; Cynodon plectostachyus; Panicum maximum,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,Sierra de los Tuxtlas,NT,60161,,Tuxtlas; SE Mexico,18.5408,-95.1036,NA,613,well-drained; coarse-textured,Si,C,NA,296.1958,8.891666,57.7381,211.9011,303.65,288.25,15.4,297.1167,295.5333,298.4,293.2333,0.378,0.028,68.98748,1.014,0.126,0.669,0.293,4,1.394,2.87,0.317,8,4,1.156,0.317,D,TS,hu
4208,Jennings 1974;Fan et al. 2017,Boscia albitrunca,,Capparaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Kalahari xeric savanna,AT,31309,,near Werda; S. Kalahari Desert; Botswana,-25.2608,23.3172,NA,1031,deep sandy soils; finer in depressions,Sa,C,97.5,295.1667,17.46667,55.98291,472.8412,309.65,278.45,31.2,299.2,288.7833,299.9833,288.7833,0.058,0.002,80.99017,0.164,0.007,0.145,0.007,0.316,1.8,0.18,0,0,12,0,1.484,C,TS,ar
4209,Jimenez et al. 2009;Fan et al. 2017,Terra firme species,,,Tree,P,Woody,,E,broad-leaf,C3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,SolimÃµes-JapurÃ¡ moist forests,NT,60163,,Colombian Amazon,-3.72,-70.31,NA,105,clay loam / Endostagnic Plinthosol (Alumic; Hyperdystric),ClLo,F,NA,299.8167,7.85,80.92784,39.67671,304.55,294.85,9.699999,299.8333,299.65,300.2833,299.2833,0.333,0.154,23.60328,0.916,0.509,0.649,0.644,3.335,1.646,2.03,0,12,0,1.295,0,D,TS,hu
4210,Jimenez et al. 2009;Fan et al. 2017,Terra firme species,,,Tree,P,Woody,,E,broad-leaf,C3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,SolimÃµes-JapurÃ¡ moist forests,NT,60163,,Colombian Amazon,-3.72,-70.3,NA,110,clay loam / Endostagnic Plinthosol (Alumic; Hyperdystric),ClLo,F,NA,299.7667,7.8,81.25001,40.41451,304.45,294.85,9.599998,299.7833,299.6167,300.2333,299.2167,0.333,0.154,23.29905,0.916,0.513,0.654,0.65,3.335,1.647,2.02,0,12,0,1.306,0,D,TS,hu
4211,Jimenez et al. 2009;Fan et al. 2017,Caatinga palms,,Arecaceae,Tree,P,Woody,Monocot,E,palm,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,SolimÃµes-JapurÃ¡ moist forests,NT,60163,,Colombian Amazon,-4.01,-69.91,NA,130,loamy sand / Orteinic Podzol (Oxyaquic) (white sand),LoSa,C,NA,299.6792,7.775,80.98958,40.53384,304.35,294.75,9.6,299.7167,299.5333,300.1333,299.1167,0.328,0.153,24.102,0.926,0.501,0.691,0.607,3.335,1.647,2.02,0,12,0,1.312,0,D,TS,hu
4212,Jipp et al 1998;Fan et al. 2017,Leguminosae sp.,Leguminosae; Sapotaceae; Lecythidaceae families,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,Tocantins/Pindare moist forests,NT,60170,,Paragominas; Para; NE Brazil,-2.9176,-47.3564,NA,133,clay (Latosol); on ironstone; then white clay,Cl,F,NA,299.0417,10.6,89.07562,46.21264,304.85,292.95,11.9,298.55,299.1167,299.65,298.55,0.387,0.047,74.81708,1.004,0.155,0.176,0.961,1.803,1.732,1.04,0.547,5,7,0.783,0.547,D,TS,hu
4213,Jipp et al 1998;Fan et al. 2017,Panicum maximum,Panicum maximum; Brachiaria humidicola,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Moist Broadleaf Forests,Tocantins/Pindare moist forests,NT,60170,,Paragominas; Para; NE Brazil,-2.9271,-47.35,NA,125,clay (Latosol); on ironstone; then white clay,Cl,F,NA,299.1542,10.65833,88.81945,47.6473,305.05,293.05,12,298.6667,299.5667,299.8,298.65,0.386,0.046,74.75813,1.003,0.153,0.264,0.958,1.803,1.736,1.04,0.549,5,7,0.78,0.549,D,TS,hu
4214,Jobbagy & Jackson 2004;Fan et al. 2017,Eucalyptus camaldulensis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Humid Pampas,NT,60803,,Pampas; Argentina,-36.0333,-57.8383,NA,30,silty loam,SiLo,M,5.8,288.3542,10.94167,44.47832,493.8184,300.15,275.55,24.6,293.9833,282.2333,294.4167,282.2333,0.105,0.05,22.6334,0.283,0.164,0.282,0.164,0.98,1.25,0.78,0.068,4,8,0.068,0.375,D,S,hu
4215,Jobbagy & Jackson 2004;Fan et al. 2017,Mix of grasses (C3 & C4),,,Grass,P,Herbaceous,,,,C3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Humid Pampas,NT,60803,,Pampas; Argentina,-36.0308,-57.8363,NA,10,silty loam,SiLo,M,1.7,288.3542,10.94167,44.47832,493.8184,300.15,275.55,24.6,293.9833,282.2333,294.4167,282.2333,0.105,0.05,22.6334,0.283,0.164,0.282,0.164,0.98,1.25,0.78,0.068,4,8,0.068,0.375,D,S,hu
4216,Jobbagy et al. 2011;Fan et al. 2017,Prosopis flexuosa,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Low Monte,NT,60802,,Central Monte; Argentina,-32.3685,-68.0358,NA,553,sandy,Sa,C,9.5,291.525,15.46667,45.75937,666.3827,307.55,273.75,33.8,299.3333,283,299.3333,283,0.063,0.003,85.32467,0.16,0.013,0.16,0.013,0.156,1.552,0.1,0,0,12,0,1.27,B,S,ar
4217,Jobbagy et al. 2011;Fan et al. 2017,Prosopis flexuosa,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Low Monte,NT,60802,,Central Monte; Argentina,-32.4267,-68.0118,NA,559,sandy,Sa,C,6.8,291.4458,15.275,45.59701,663.6348,307.35,273.85,33.5,299.2333,282.9667,299.2333,282.9667,0.06,0.003,85.02703,0.155,0.012,0.155,0.012,0.156,1.549,0.1,0,0,12,0,1.274,B,S,ar
4218,Jobbagy et al. 2011;Fan et al. 2017,Prosopis flexuosa,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Low Monte,NT,60802,,Central Monte; Argentina,-32.3955,-68.0366,NA,554,sandy,Sa,C,7.1,291.4958,15.40833,45.85814,664.2681,307.45,273.85,33.6,299.2833,283.0167,299.2833,283.0167,0.061,0.003,85.42821,0.156,0.012,0.156,0.012,0.156,1.551,0.1,0,0,12,0,1.275,B,S,ar
4219,Johnson et al. 2013;Fan et al. 2017,Trichostigma octandrum,family: Phytolaccaceae,Petiveriaceae,Shrub,P,Woody,Dicot,E,broad-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Isthmian-Atlantic moist forests,NT,60129,,outside Panama; Panama,8.9856,-79.5469,NA,27,Ancon clay with ? 25% clay and ? 35% silt,ClLo,F,0.6,300.0417,6.683334,76.81992,65.77625,304.65,295.95,8.700001,299.4167,300.3,300.9667,299.3667,0.396,0.018,67.88594,0.912,0.071,0.296,0.886,1.8,1.528,1.18,0.404,8,4,1.089,0.404,D,TS,hu
4220,Johnson et al. 2013;Fan et al. 2017,Anacardium excelsum,,Anacardiaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Isthmian-Atlantic moist forests,NT,60129,,outside Panama; Panama,8.9856,-79.5469,NA,27,Ancon clay with ? 25% clay and ? 35% silt,ClLo,F,0.6,300.0417,6.683334,76.81992,65.77625,304.65,295.95,8.700001,299.4167,300.3,300.9667,299.3667,0.396,0.018,67.88594,0.912,0.071,0.296,0.886,1.8,1.528,1.18,0.404,8,4,1.089,0.404,D,TS,hu
4221,Jonasson & Callaghan 1992;Fan et al. 2017,Antennaria dioica,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4222,Jonasson & Callaghan 1992;Fan et al. 2017,Bartsia alpina,,Orobanchaceae,Forb,P,Herbaceous,Dicot,,,C3,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4223,Jonasson & Callaghan 1992;Fan et al. 2017,Calamagrostis lapponica,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4224,Jonasson & Callaghan 1992;Fan et al. 2017,Carex capillaris,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4225,Jonasson & Callaghan 1992;Fan et al. 2017,Harrimanella hypnoides,Cassiope hypnoides,Ericaceae,Shrub,P,Woody,Dicot,E,,C3,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4226,Jonasson & Callaghan 1992;Fan et al. 2017,Cassiope tetragona,,Ericaceae,Shrub,P,Woody,Dicot,E,,C3,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4227,Jonasson & Callaghan 1992;Fan et al. 2017,Festuca ovina,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4228,Jonasson & Callaghan 1992;Fan et al. 2017,Festuca ovina,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4229,Jonasson & Callaghan 1992;Fan et al. 2017,Lycopodium selago,,Lycopodiaceae; Lycopodium selago (Huperzia selago),Forb,P,Herbaceous,Pteridophyte,,,C3,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4230,Jonasson & Callaghan 1992;Fan et al. 2017,Pedicularis lapponica,,Orobanchaceae,Forb,P,Herbaceous,Dicot,,,C3,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4231,Jonasson & Callaghan 1992;Fan et al. 2017,Phyllodoce coerulea,,Ericaceae,Shrub,P,Woody,Dicot,E,,C3,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4232,Jonasson & Callaghan 1992;Fan et al. 2017,Polygonum viviparum,Polygonum viviparum (Bistorta vivipara),Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.3486,18.8083,NA,385,permafrost rocky,Ro,C,NA,273.4417,7.066667,23.79349,776.7614,288.05,258.35,29.7,283.4667,271.2667,283.4667,264.2,0.057,0.012,43.8301,0.133,0.046,0.133,0.069,0.342,0.37,0.92,0.138,6,6,0.138,0.166,C,S,hu
4233,Jonasson & Callaghan 1992;Fan et al. 2017,Polygonum viviparum,Polygonum viviparum (Bistorta vivipara),Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4234,Jonasson & Callaghan 1992;Fan et al. 2017,Salix reticulata,,Salicaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4235,Jonasson & Callaghan 1992;Fan et al. 2017,Solidago virgaurea,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4236,Jonasson & Callaghan 1992;Fan et al. 2017,Tofieldia pusilla,,Tofieldiaceae,Forb,P,Herbaceous,Monocot,,,C3,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.3486,18.8083,NA,385,permafrost rocky,Ro,C,NA,273.4417,7.066667,23.79349,776.7614,288.05,258.35,29.7,283.4667,271.2667,283.4667,264.2,0.057,0.012,43.8301,0.133,0.046,0.133,0.069,0.342,0.37,0.92,0.138,6,6,0.138,0.166,C,S,hu
4237,Jonasson & Callaghan 1992;Fan et al. 2017,Tofieldia pusilla,,Tofieldiaceae,Forb,P,Herbaceous,Monocot,,,C3,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4238,Jonasson & Callaghan 1992;Fan et al. 2017,Vaccinium myrtillus,,Ericaceae,Shrub,P,Woody,Dicot,D,broad-leaf,C3,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tundra,Scandinavian Montane Birch forest and grasslands,PA,81110,,Sweedish Lapland,68.5,20.25,NA,640,permafrost rocky,Ro,C,NA,270.9625,7.575,24.04762,906.4469,288.15,256.65,31.5,282.6167,264,282.6167,260.7333,0.083,0.021,45.9114,0.198,0.067,0.198,0.084,0.477,0.354,1.35,0.069,8,4,0.192,0.069,C,S,hu
4239,Jones et al. 1996;Fan et al. 2017,Magnolia virginiana,Magnolia virginiana; Nyssa sylvaticavar; Acer rubrum; Liquidambar styraciflua; Liriodendron tulipifera; Pinus elliotti,Magnoliaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Southeastern mixed forests,NA.,50413,,Monroe county; SW Alabama,31.5586,-87.4895,NA,11,periodically flooded flood plain,Wa,Wa,0.2,291.6375,13.54167,42.18588,685.4631,307.55,275.45,32.1,284.4167,292.3167,299.7833,282.9833,0.171,0.07,20.79086,0.452,0.275,0.374,0.419,0.8985,1.486,0.6,0.332,5,7,0.332,0.332,D,E,sh
4240,Jonsson 1988;Fan et al. 2017,Zea mays,,Poaceae,Grass,A,Herbaceous,Monocot,,,C4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Eastern Miombo woodlands,AT,30706,,Morogoro; E. Tanzania,-6.8316,37.6333,NA,496,sandy loams; poor in Org and N; high in P + cations,SaLo,C,NA,297.8958,10.70833,66.92708,181.5521,305.55,289.55,16,299.2167,295.4667,299.8167,295.4667,0.191,0.011,72.2713,0.431,0.044,0.356,0.044,0.87,1.745,0.5,0.061,1,11,0.061,0.828,D,TS,sa
4241,Jonsson 1988;Fan et al. 2017,Cassia siamea,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Eastern Miombo woodlands,AT,30706,,Morogoro; E. Tanzania,-6.8376,37.6308,NA,498,sandy loams; poor in Org and N; high in P + cations,SaLo,C,NA,297.8375,10.80833,67.1325,181.172,305.55,289.45,16.1,299.1667,295.4,299.7667,295.4,0.2,0.012,72.76387,0.444,0.046,0.356,0.046,0.87,1.741,0.5,0.071,1,11,0.071,0.817,D,TS,sa
4242,Jonsson 1988;Fan et al. 2017,Eucalyptus tereticornis,,Myrtaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Eastern Miombo woodlands,AT,30706,,Morogoro; E. Tanzania,-6.8376,37.6276,NA,498,sandy loams; poor in Org and N; high in P + cations,SaLo,C,NA,297.8375,10.80833,67.1325,181.172,305.55,289.45,16.1,299.1667,295.4,299.7667,295.4,0.2,0.012,72.76387,0.444,0.046,0.356,0.046,0.87,1.741,0.5,0.071,1,11,0.071,0.817,D,TS,sa
4243,Jonsson 1988;Fan et al. 2017,Leucaena leucocephala,,Fabaceae,Tree,P,Woody,Dicot,E,broad-leaf,C3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Eastern Miombo woodlands,AT,30706,,Morogoro; E. Tanzania,-6.8418,37.6297,NA,502,sandy loams; poor in Org and N; high in P + cations,SaLo,C,NA,297.7417,10.9,67.28395,181.3063,305.45,289.25,16.2,299.0667,295.2833,299.65,295.2833,0.201,0.011,73.74017,0.446,0.042,0.356,0.042,0.87,1.74,0.5,0.071,1,11,0.071,0.82,D,TS,sh
4244,Jonsson 1988;Fan et al. 2017,Prosopis chilensis,,Mimosaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical & Subtropical Dry Broadleaf Forests,Eastern Miombo woodlands,AT,30706,,Morogoro; E. Tanzania,-6.8437,37.6301,NA,504,sandy loams; poor in Org and N; high in P + cations,SaLo,C,NA,297.7417,10.9,67.28395,181.3063,305.45,289.25,16.2,299.0667,295.2833,299.65,295.2833,0.201,0.011,73.74017,0.446,0.042,0.356,0.042,0.87,1.74,0.5,0.071,1,11,0.071,0.82,D,TS,sh
4245,Joslin et al. 2006;Fan et al. 2017,Quercus alba L.,Quercus alba L.. Q. prinus L.; Q. coccinea Muenchh.; Q. falcata Michx.; Q. rubra L.,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Appalachian-Blue Ridge forests,NA.,50403,,Oak Ridge; TN,35.915,-84.3902,NA,303,Loamy sand Paleudult or Hapludult,SaLo,C,NA,287.3,14.13333,38.61566,818.3242,305.35,268.75,36.6,287.05,293.1167,297.2,276.9667,0.133,0.078,14.54701,0.35,0.263,0.32,0.328,1.36,1.256,1.08,0.301,5,7,0.316,0.301,D,E,hu
4246,Joslin et al. 2006;Fan et al. 2017,Quercus alba L.,Quercus alba L.. Q. prinus L.; Q. coccinea Muenchh.; Q. falcata Michx.; Q. rubra L.,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Appalachian-Blue Ridge forests,NA.,50403,,Oak Ridge; TN,35.9875,-84.2854,NA,300,Loamy sand Paleudult or Hapludult,SaLo,C,NA,287.1042,13.525,37.56944,816.4793,305.05,269.05,36,295.05,292.9,297,276.8,0.125,0.075,13.64471,0.334,0.258,0.317,0.302,1.36,1.24,1.1,0.28,5,7,0.28,0.306,D,E,hu
4247,Kalisz et al. 1987;Fan et al. 2017,Fagus grandifolia,Fagus grandifolia; Liriodendron tulipifera;Carya sp.; Quercus rubra; Q. s coccinea; Q. prinus; Q. velutina; Q. alba; Acer rubrum,Fagaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Appalachian mixed mesophytic forests,NA.,50402,,Cumberland Plateau; E. Kentucky,37.45,-83.1333,NA,415,well-drained stony sandy loams to silt loams,SaLo,C,NA,285.4083,13.3,36.84211,837.4497,303.15,267.05,36.1,293.45,291.6,295.5,274.9,0.124,0.08,12.8322,0.342,0.271,0.327,0.271,1.17,1.221,0.96,0.245,5,7,0.245,0.287,D,E,hu
